From	To
Q96CS2	HAUS1
Q9NVX0	HAUS2
Q68CZ6	HAUS3
Q9H6D7	HAUS4
O94927	HAUS5
Q99871	HAUS7
Q9BT25	HAUS8
Q7Z4H7	HAUS6
Q96D42	HAVCR1
Q8TDQ0	HAVCR2
O00165	HAX1
Q96EW2	HSPBAP1
Q99075	HBEGF
O60381	HBP1
Q9BXC0	HCAR1
Q8TDS4	HCAR2
P49019	HCAR3
Q16836	HADH
Q9Y5Z7	HCFC2
P51610	HCFC1
P14317	HCLS1
P08631	HCK
O60741	HCN1
Q9P1Z3	HCN3
Q9Y3Q4	HCN4
Q9UL51	HCN2
Q6MZN7	HCP5
Q9UBK5	HCST
Q96DB2	HDAC11
Q969S8	HDAC10
Q92769	HDAC2
O15379	HDAC3
P56524	HDAC4
Q9UQL6	HDAC5
Q9UBN7	HDAC6
Q8WUI4	HDAC7
Q9UKV0	HDAC9
Q8IV16	GPIHBP1
Q9UBI9	HECA
Q7Z4H3	HDDC2
Q5TGJ6	HDGFL1
Q7Z4V5	HDGFL2
Q9Y3E1	HDGFL3
Q9BXW7	HDHD5
Q7Z353	HDX
Q9H8Q6	HEXA-AS1
P42858	HTT
Q7Z4Q2	HEATR3
Q9H583	HEATR1
Q86WZ0	HEATR4
Q9NRV9	HEBP1
A2RTY3	HEATR9
Q6AI08	HEATR6
Q9Y5Z4	HEBP2
A8MVW5	HEPACAM2
Q14CZ8	HEPACAM
Q5U5R9	HECTD2
Q5T447	HECTD3
Q76N89	HECW1
Q9ULT8	HECTD1
Q9ULI3	HEG1
Q9P2P5	HECW2
Q8NG08	HELB
Q9NRZ9	HELLS
Q8TDG4	HELQ
A6NFD8	HELT
Q9BYK8	HELZ2
P42694	HELZ
P22557	ALAS2
P13196	ALAS1
P13716	ALAD
P08397	HMBS
P36551	CPOX
Q9BXL5	HEMGN
Q9Y5R4	HEMK1
P02790	HPX
Q02575	NHLH1
Q02577	NHLH2
Q5T8I9	HENMT1
P05546	SERPIND1
P81172	HAMP
Q6WQI6	HEPN1
Q9BQS7	HEPH
P05981	HPN
Q9UII4	HERC5
Q8IVU3	HERC6
Q15751	HERC1
Q15011	HERPUD1
Q9BSE4	HERPUD2
O95714	HERC2
Q14469	HES1
Q9Y543	HES2
Q5TGS1	HES3
Q9HCC6	HES4
Q5TA89	HES5
Q96HZ4	HES6
Q9BYE0	HES7
Q9UBX0	HESX1
P06865	HEXA
Q8WVB3	HEXD
O94992	HEXIM1
Q96MH2	HEXIM2
Q9Y5J3	HEY1
Q9UBP5	HEY2
Q9NQ87	HEYL
Q30201	HFE
Q8IZ07	ANKRD13A
Q8N6S4	ANKRD13C
Q86YJ7	ANKRD13B
Q6ZTN6	ANKRD13D
Q5CZ79	ANKRD20A8P
Q8IVF6	ANKRD18A
A2A2Z9	ANKRD18B
Q9BXX3	ANKRD30A
Q9BXX2	ANKRD30B
Q92688	ANP32B
O43423	ANP32C
Q9BTT0	ANP32E
A6NCL7	ANKRD33B
Q69YU3	ANKRD34A
A5PLL1	ANKRD34B
P0C6C1	ANKRD34C
Q8N2N9	ANKRD36B
P54802	NAGLU
A6QL64	ANKRD36
Q5JPF3	ANKRD36C
Q9UJX6	ANAPC2
Q96K21	ZFYVE19
P10275	AR
P16860	NPPB
P23582	NPPC
P01160	NPPA
Q9P2R3	ANKFY1
Q9UNK9	ANGEL1
Q5VTE6	ANGEL2
P03950	ANG
O95841	ANGPTL1
Q9UKU9	ANGPTL2
Q9Y5C1	ANGPTL3
Q9BY76	ANGPTL4
Q86XS5	ANGPTL5
O43827	ANGPTL7
Q8NI99	ANGPTL6
Q6UXH0	ANGPTL8
Q15389	ANGPT1
O15123	ANGPT2
Q9Y264	ANGPT4
P01019	AGT
E9PGG2	ANHX
P16157	ANK1
Q7Z5J8	ANKAR
Q9NU02	ANKEF1
Q8N957	ANKFN1
Q01484	ANK2
Q9HCJ1	ANKH
Q12955	ANK3
Q8IWZ3	ANKHD1
Q8NFD2	ANKK1
Q8NAG6	ANKLE1
Q9BQD7	ANTKMT
Q86XL3	ANKLE2
Q15327	ANKRD1
Q9GZV1	ANKRD2
Q92527	ANKRD7
Q9Y2G4	ANKRD6
Q96BM1	ANKRD9
Q6ZW76	ANKS3
A6NFN9	ANKUB1
Q68DC2	ANKS6
Q9P2S6	ANKMY1
Q8IV38	ANKMY2
Q9H8Y5	ANKZF1
Q9NQW6	ANLN
P55345	PRMT2
O60678	PRMT3
Q96LA8	PRMT6
Q9NR22	PRMT8
Q6P2P2	PRMT9
A2PYH4	HFM1
P04233	CD74
B2RPK0	HMGB1P1
Q93099	HGD
Q04756	HGFAC
P26927	MST1
P14210	HGF
Q9BTY7	HGH1
Q68CP4	HGSNAT
O14964	HGS
Q9HCP6	HHATL
Q03014	HHEX
Q96QV1	HHIP
Q9XRX5	HHLA3
C9JL84	HHLA1
Q9UM44	HHLA2
Q6NVY1	HIBCH
Q14526	HIC1
Q96JB3	HIC2
A8MVS5	HIDE1
Q8IV36	HID1
Q16665	HIF1A
Q9Y2N7	HIF3A
A8MV81	HIGD1C
Q9BW72	HIGD2A
Q4VC39	HIGD2B
P60008	H1-9P
Q9BQA5	HINFP
Q9NQE9	HINT3
O75146	HIP1R
O00291	HIP1
Q86Z02	HIPK1
Q9H2X6	HIPK2
Q8NE63	HIPK4
Q9H422	HIPK3
Q96JK4	HHIPL1
Q6UWX4	HHIPL2
P54198	HIRA
Q9BW71	HIRIP3
P15515	HTN1
P15516	HTN3
Q9NW15	ANO10
Q5XXA6	ANO1
Q9NQ90	ANO2
Q9BYT9	ANO3
Q75V66	ANO5
Q4KMQ2	ANO6
Q32M45	ANO4
Q6IWH7	ANO7
A1A5B4	ANO9
Q9HCE9	ANO8
P16066	NPR1
P20594	NPR2
P17342	NPR3
Q9NXR5	ANKRD10
Q6P6B7	ANKRD16
Q9H560	ANKRD19P
Q6UB98	ANKRD12
Q86SG2	ANKRD23
O75179	ANKRD17
Q6UB99	ANKRD11
Q96NW4	ANKRD27
Q8TF21	ANKRD24
Q9UPS8	ANKRD26
Q8N6D5	ANKRD29
Q7Z713	ANKRD37
O15084	ANKRD28
Q53RE8	ANKRD39
Q8N283	ANKRD35
Q8N7Z5	ANKRD31
Q6AI12	ANKRD40
Q8N9B4	ANKRD42
Q5TZF3	ANKRD45
Q8N8A2	ANKRD44
Q86W74	ANKRD46
Q8WVL7	ANKRD49
Q9ULJ7	ANKRD50
Q8NB46	ANKRD52
Q8N9V6	ANKRD53
Q6NXT1	ANKRD54
Q9BZ19	ANKRD60
Q3KP44	ANKRD55
C9JTQ0	ANKRD63
A6NGH8	ANKRD61
A6NC57	ANKRD62
E5RJM6	ANKRD65
B4E2M5	ANKRD66
Q9H9E1	ANKRA2
Q92625	ANKS1A
Q7Z6G8	ANKS1B
Q8N8V4	ANKS4B
P01008	SERPINC1
Q9H6X2	ANTXR1
P58335	ANTXR2
A6NF34	ANTXRL
A0A0C4DH62	IGHJ1
Q8NCD3	HJURP
Q2TB90	HKDC1
P04439	HLA-A
P10321	HLA-C
P01889	HLA-B
P13747	HLA-E
P30511	HLA-F
P17693	HLA-G
P01893	HLA-H
Q16534	HLF
Q9Y5L2	HILPDA
Q14527	HLTF
Q14774	HLX
Q8TCT9	HM13
Q9NP66	HMG20A
Q9P0W2	HMG20B
Q6NT76	HMBOX1
Q96FZ2	HMCES
Q01581	HMGCS1
P54868	HMGCS2
P04035	HMGCR
Q05925	EN1
P19622	EN2
P09429	HMGB1
P26583	HMGB2
O15347	HMGB3
Q8WW32	HMGB4
Q8TB92	HMGCLL1
P35914	HMGCL
P05114	HMGN1
Q15651	HMGN3
O00479	HMGN4
P82970	HMGN5
Q9UGU5	HMGXB4
Q12766	HMGXB3
O97980	HMHB1
P0CJ77	MTRNR2L10
S4R3Y5	MTRNR2L11
O75330	HMMR
Q92619	ARHGAP45
S4R3P1	MTRNR2L13
P0CJ69	MTRNR2L2
P0CJ70	MTRNR2L3
P0CJ71	MTRNR2L4
P0CJ72	MTRNR2L5
P0CJ74	MTRNR2L7
P0CJ76	MTRNR2L9
P09601	HMOX1
P30519	HMOX2
Q95460	MR1
P0C7T4	HMSD
Q9NP08	HMX1
A2RU54	HMX2
A6NHT5	HMX3
P20823	HNF1A
P35680	HNF1B
P41235	HNF4A
Q14541	HNF4G
Q9UBC0	ONECUT1
O60812	HNRNPCL1
B2RXH8	HNRNPCL2
B7ZW38	HNRNPCL3
P0DMR1	HNRNPCL4
O14979	HNRNPDL
P31943	HNRNPH1
P55795	HNRNPH2
P31942	HNRNPH3
Q9BUJ2	HNRNPUL1
Q8WVV9	HNRNPLL
Q1KMD3	HNRNPUL2
P07910	HNRNPC
Q14103	HNRNPD
P52597	HNRNPF
P61978	HNRNPK
P14866	HNRNPL
P52272	HNRNPM
O60506	SYNCRIP
O43390	HNRNPR
Q00839	HNRNPU
Q6PI97	HOATZ
Q86XE5	HOGA1
Q9BYM8	RBCK1
Q86YM7	HOMER1
Q9NSB8	HOMER2
Q9NSC5	HOMER3
Q8IX15	HOMEZ
Q9UJC3	HOOK1
Q96ED9	HOOK2
Q86VS8	HOOK3
Q9P2W1	PSMC3IP
Q9BPY8	HOPX
Q86X24	HORMAD1
Q8N7B1	HORMAD2
Q8IWW8	ADHFE1
Q5SSJ5	HP1BP3
Q9NZL4	HSPBP1
P84074	HPCA
P37235	HPCAL1
Q9UM19	HPCAL4
Q9NWY4	HPF1
Q9NWW0	HCFC1R1
Q6MZM0	HEPHL1
P10915	HAPLN1
Q9GZV7	HAPLN2
Q96S86	HAPLN3
Q86UW8	HAPLN4
P32754	HPD
Q92902	HPS1
Q969F9	HPS3
Q9NQG7	HPS4
Q9UPZ3	HPS5
Q86YV9	HPS6
Q8WWQ2	HPSE2
Q9Y251	HPSE
P00739	HPR
P00738	HP
Q9BVR0	HERC2P3
Q6UXD1	HRCT1
P13985	HRES1
P04196	HRG
P35367	HRH1
Q9Y5N1	HRH3
Q9H3N8	HRH4
O00198	HRK
Q8N3J3	HROB
Q92598	HSPH1
O43301	HSPA12A
Q96MM6	HSPA12B
Q7LGA3	HS2ST1
O14792	HS3ST1
Q9Y278	HS3ST2
Q8IZT8	HS3ST5
Q9Y661	HS3ST4
Q96QI5	HS3ST6
Q9Y663	HS3ST3A1
Q9Y662	HS3ST3B1
P0DMV9	HSPA1B
P0DMV8	HSPA1A
P34931	HSPA1L
O95757	HSPA4L
Q14568	HSP90AA2P
Q58FG1	HSP90AA4P
Q58FG0	HSP90AA5P
P07900	HSP90AA1
P08238	HSP90AB1
O75506	HSBP1
C9JCN9	HSBP1L1
Q8IWL3	HSCB
Q3SXM5	HSDL1
O75031	HSF2BP
Q00613	HSF1
Q03933	HSF2
Q9ULV5	HSF4
Q4G112	HSF5
Q9UBD0	HSFX1
Q9UBD0	HSFX2
A0A1B0GWH4	HSFX3
A0A1B0GTS1	HSFX4
Q96LI6	HSFY1
Q96LI6	HSFY2
Q96JZ2	HSH2D
P50995	ANXA11
P08133	ANXA6
P20073	ANXA7
O76027	ANXA9
P28039	AOAH
P19801	AOC1
O75106	AOC2
Q16853	AOC3
P21397	MAOA
Q06278	AOX1
O60641	SNAP91
Q63HQ0	AP1AR
Q10567	AP1B1
O43747	AP1G1
O75843	AP1G2
Q9Y6Q5	AP1M2
P56377	AP1S2
Q96PC3	AP1S3
O95782	AP2A1
O94973	AP2A2
P05549	TFAP2A
P63010	AP2B1
Q92481	TFAP2B
Q92754	TFAP2C
Q7Z6R9	TFAP2D
Q6VUC0	TFAP2E
O00203	AP3B1
Q13367	AP3B2
O14617	AP3D1
Q92572	AP3S1
P59780	AP3S2
Q96N21	TEPSIN
Q9Y6B7	AP4B1
Q9UPM8	AP4E1
O00189	AP4M1
A0A6M8YDW1	MDIG
A0A024R8L0	MRPS7
A0A024RBN3	C12orf34
A0A024R7D3	UNQ501
B2R9U8	ST8SIA2
A5JUU3	P2RY14
A0N0R2	BLR1
A0A024RC49	PIAS2
A0A090N8Y5	LSM5
A0A024R1B8	C22orf13
F1T0H7	ARHGDIG
A0A024RDG5	HMFN0839
E5KTA6	UNG
A0A024R0R6	SYMPK
A0A024R7G4	ASF1B
A0A024R3C6	ZBTB16
A0A024R8L3	TMEM104
Q53FR9	COMMD9
Q53T99	WDR12
A0A024R4I3	hCG_2008146
A0A024R6G6	NDUFB1
A5PKX1	KLHL4
A0A140VJM8	KLHL10
A0A024RBR3	DENR
A0A024R9I1	SGNE1
A0A024R169	TEX10
A4D125	SOSTDC1
F1D8T0	NR2A1
A0A384MQZ3	WDR8
A0A126GW10	OR14J1
A0A024R5F4	CPT1A
A0A024R3F5	MIZF
A0M8W4	UBE2V2
A4D0X1	SLC13A1
A0A024R1X9	KRT23
A0A0S2Z4U0	RIN1
A1PQX5	TP73
A0A024R1S2	CDC6
B4E1C2	KNG1
A0A024R294	C18orf24
A0A384NKM6	APOH
B0YJ56	OSBPL1A
E5KND5	GFM1
Q6FHX6	FEN1
B1AKZ4	PEA15
A0A024R6D7	JDP2
A0A024RDC4	PRDM8
A0A024R189	TBL1Y
A0A024RDY6	ZIC2
A0A024QZI5	NCOA4
Q5VX58	PABPC3
A0A126GW55	OR2B6
A0A140VK94	RANBP1
D3DU05	TLK2
A0A024QZM6	SEC24C
A0A024R993	LRRN5
Q53XR2	SLBP
B2RB70	NCALD
A0A024R9J4	NOV
A0A024R4Q9	ZNF471
A0A024QYX1	WDR45
A0A024R791	ATP6V0A4
A0A024R168	NR4A3
Q549N5	SRPRB
Q8WX69	AQP7B
A0A024R7T3	HNRPF
A0A024RAP8	hCG_2009644
A0A024RBB7	NAP1L1
A0A0A8K8C2	URLC7
A0A024RAK5	CKMT2
Q53SH4	CHRNA1
A0A024RD36	RPL7L1
B1AQP2	PFDN2
A0A024R7Q1	RNF44
A0A090N8Q6	PRKAG2
E5KQF6	NR3C1
A0A024RCJ8	hCG_1821276
A0A024R178	ARAF
A0A140VJR6	TMEM122
A0A024R730	CFTR
A0A024RC67	PRC1
A0A024R3U3	MRPL55
A0A384MTT5	SPDY1
A6XAA7	GREM1
D2IYL0	PSORS1C1
E5KRP5	SPAST
A0A024R2N5	SEC22C
B2R8C0	CCRL2
H3BLT8	CCDC78
G3F4G3	C11orf66
A0A024R7X1	TERF1
A1LU61	SEC31L1
A1MB48	TWIST2
A0A024R7L8	UPF1
A0A024RCQ4	RNF5
A0A024R1L3	RP5-1104E15.5
B1ALW7	COG2
A0A024R7Q7	KIAA1191
A0A024RB39	LOC56901
A0A126GVM2	OR51D1
A0A024RDU0	INTS6
A4D158	NPY
A0A024R7L6	LOC93343
A0A024R6H3	ITPK1
A0A024R4G2	JOSD2
A1LU37	HNRPD
A0A024R868	ANGPTL2
A0A1U9X797	ATAT1
A0A024R8C5	SURF5
A0A0S2Z3Q6	FGFR1
A0A0A0MT02	NELFE
A0A024R3H5	C11orf57
B6V9G9	GPR15
A8K6K3	MAP3K7IP1
A0A024QYY6	FMO5
A0A024RDP2	RNF6
A0A109QAI7	HLA-A
A0A024QZ08	IFT20
A8MUN0	KRTAP5-4
Q6FI27	GSK3B
A0A0S2Z3H2	CLPTM1
R4SCQ0	EGLN1
A0A024RCG4	FSHPRH1
A0A024R7N5	KLHL26
S6BVK3	HLA-B
A2RU94	RAB27A
F1DSG4	AQP4
A0A024R0Y5	PFKM
B7ZME0	TXNDC8
A4D2D3	FBXO24
Q9BQU0	KIR3DL2
A0A384MTS1	PPWD1
A0A384MTI8	DCPS
A0A126GWI7	OR2M2
A0A024R768	MEST
A0A126GVA1	OR2W1
L0R6P0	RPP14
A0A024QZB8	CLN3
A0A140VJE8	AP2B1
Q3ZTS7	ANKRD13
F1DAM6	GPR6
A0A024R6L5	TDP1
B9EGL1	DLG4
Q53T26	PELI1
A0A024R534	MTA2
A0A024R9Y2	KIAA1267
I3VM53	KDM2A
A0A024RCW6	PPARD
A0A024RBS2	RPLP0
A0A024R100	PEX26
A0A126GW57	OR1G1
F1T0B6	AIPL1
A0A024R1W6	ORMDL3
A0A024R7I0	GIPC1
A0A024R918	FAM20B
A0A024R4I9	SYT3
A0A024R4M8	RDH13
A0A126GWR8	OR2L5
A0A024R6M3	PAPOLA
A0A024R5C5	PC
A0A024R397	PANX1
A0A024RD59	ICK
A0A024R4T8	ZNF499
Q540F3	NAP1
Q5VU50	BSND
A0A0S2Z5C6	FPGT
B1PKY1	HLA-A
A0N0N3	CXCR6
A8K881	IFNGR2
A0A0S2Z5M1	SEC63
A0A024R579	GPHA2
A0A024RDH0	CCNI
A0A126GVD4	OR5AS1
A0A024R9X7	RIBC1
A0A024RCB3	CD151
A0A024R2J9	TBC1D5
A0A024R1Q0	SREBF2
Q53RZ9	MBDin
A1LP82	CCBP2
A2A3R6	RPS6
A0A024R6X0	RRAD
A0A024R1J5	PICK1
A0A024RBY7	TMEM47
A0A024RAE3	PQLC2
A0A024R5P0	PAK1
Q6H2H3	KIR2DL1
A0A024R126	NR4A1
A0A024R667	C14orf150
B0YIY5	CD3G
A0A024RE09	TMCO3
A0A024R734	NFAT5
A0A024RCM6	OR2H1
I3ZN84	HLA-B
A0A024RDV4	STARD13
A4D1D2	ABCB1
A0A024RDY7	MED4
A0A0S2Z3G4	FXN
B3KNK9	HEL46
A0A140VKD1	TMED3
A8K466	HFE2
A0A384MTK2	DEFB118
J3KPD3	RBM7
A0A024RB59	PDE1B
A0A024R8P1	FOXJ1
A0A024R1C2	TOP3B
A0A024R7G7	SLC35E1
Q708E9	MYB
A1MMZ0	LOC92689
A0A024R834	RNF183
D3Y2A0	ZFP30
A0A024R567	MAP4K2
A0A024R5L2	ACY3
A0A024R8Z4	FMO3
A0A024R692	RHOJ
Q8N6C9	KIR3DL1
A0A126GV96	OR4F6
Q5T626	NASP
A0A024RCM1	MSH5
Q6FI00	CCND1
Q547U9	NR2A
K7PPU3	CDKN2B
A0A024R6Z5	hCG_2026222
A0A024RBV3	FAM9B
A0A024R7M7	JAK3
A0A0S2Z517	GPR56
A0A024R9W7	TMEM33
A0A140VJY4	TSPYL6
A0N0R1	CCL3
Q96QC4	MICA
A0A024RAL0	XRCC4
A0A590UJH1	JAKMIP3
A0A024RCM3	hCG_2005638
Q53GC0	SERTAD1
A0A140VK84	FN3KRP
A0A024R7L5	UPF1
A0A024QZ03	CCDC22
Q53QY6	ICOS
A0A0A8KWK3	TGFBR3
A1LPW7	USP4
V9HWK2	HEL114
F1D8S3	NR1D1
A0A024R082	C1orf159
A0A024R681	NUMB
A0A024R9L7	MYC
A0A224B028	IL-21
A0A0S2Z437	BTC
C4N361	KIR3DL1
A0A024QZB5	MGC3121
A0A024R687	PLEKHC1
A0A024R718	PBEF1
A0A024R318	PARP3
A0A024R2L1	WDR48
Q6IAH1	JDP1
A0A024RA32	C1GALT1
C3VPR7	NLRC3
A0A024RAX7	CSAD
A0A024RDC2	WDFY3
A0A024RCN6	VARS
H3BN63	PALB2
C4N360	KIR3DL1
A0A024R9E9	FZD6
A0A024RBH2	CKAP4
A0A140VK77	DAZL
A0A024RCV5	AGPAT1
A0A126GWE3	OR10G3
A0A024R1A2	PHF16
A0A0S2Z4C3	FH
Q548Y0	HCRTR2
V9HWE1	HEL113
H3BPZ0	FBXL19
A0A024R2A6	XAGE2
A0A024R330	C3orf14
A0A024R154	RP11-35N6.1
A0A024R146	CYLC2
A0A024RB24	SLC39A5
A0A024RD78	MRPL14
A0A024R487	ACSL3
A0A126GV99	OR5V1
A0A024QZD2	SH2B
A4D2N2	HTR5A
L7RXH5	MAPK3
A0A024R6X4	PLEKHG4
A0A024R4M4	KLK12
A0A384MDW9	HTRA2
A0A024R1T9	ACLY
A0A024R6G5	TCL1A
A0A024R3X5	KIAA0971
A0A024QYX5	FTSJ1
A0A024RBC5	GNS
F1D8P4	NR0B1
A0A024R3W5	SLC39A10
A0A024R9X4	KLF8
J3QT39	CCDC14
A0A024RC89	ABHD2
A0A140VK58	TMEM31
A0A024RA29	ICA1
A0A024RB31	MYL6B
B8YCP3	FLJ38101
Q96GL3	IRF3
A0A024R7Q6	TSPAN17
A0A024RB64	hCG_2016179
A0A0S2Z454	MEF2A
A0A0J9YXC7	LIMS3
A0A024R593	PPP2R5B
A0A024R6I9	SERPINA4
A0A286YF40	OR13C3
B2R6F3	SFRS3
A0A024R658	ZFP36L1
A0A1W1GSK9	ERCC4
Q5TCX1	TREM2
A0A0S2Z5N9	PRRG4
A0A090N8H4	HIMAP2
A0A024R8V6	USP36
A0A024R7H3	USHBP1
A0A126GVP6	OR6Q1
A0A2X0SFB3	ARHGAP10
A0A024R974	ELF3
B5BU99	YTHDF2
A0A024R5T9	GCNT3
A0A384NPW7	C6orf79
A0A126GVQ9	OR4D11
A0A024RDT1	MTRF1
A0A024R4S5	ZNF444
Q2L4S5	GALNT19
A0A024R4F4	POLD1
Q6NUK7	LYN
B2RNB2	ADAM17
A3QNQ0	TGFBR2
A0A7I2V4K3	TUNAR
Q5TAL4	SNRPC
A0A024R380	CBLN2
G3XAK1	MST1
A0A024R6A3	PSEN1
A0A024RB06	SOX5
A0A024R7I5	TRMT1
D9YZU8	HBG1
A0A024R691	ZNF410
Q6FHW6	TCF2
A0A024RE24	FAHD2A
A0A024R6K3	SETD3
A0A024RBI1	DAO
A0A024RDB4	HNRPD
A0A024R6Y8	CMTM3
A0A024R6G4	ALDH6A1
A0A024R618	LOC124446
A0A024R8B7	CRSP8
A0A024R4S0	CHMP2A
A0A126GVZ6	OR8K1
A0A140VJJ0	EPHA3
Q546E0	FUT8
Q5T170	PYGO2
B0YJ88	RDX
Q6FH41	THRA
A0A024R6Q1	EIF5
A0A024RC97	PTDSS2
A0A0A0MS08	IGHG1
A8K6C2	GHB3
A0A024RBB9	LEMD3
Q38L15	TREM1
B0EVZ8	HC21ORF7
A0A024RBP2	PPP1CC
A0A024R230	NTRK2
A0A024R771	FLJ35834
A1PLF1	NHLH2
A0A0S2Z597	DOLK
A0A158RFU6	RAB7A
A0A024R191	RAB38
A1LV06	ELOVL6
A0A024R860	CHST12
F1D8R0	NR2F2
A0A024QZ73	PRDM2
A0A126GW81	OR1E2
D2SNZ4	PRR11
B6VEX4	ABI1
A0A024RC34	RBBP8
A1MJ41	PBX1
B2R672	XLKD1
Q546D7	AMBN
Q6FHZ7	ADFP
Q3SYF1	SNX12
A0A0A6YY98	TRPV5
A0A024R4Z6	SSRP1
A0A0S2Z3K8	E2F6
A0A024QZ12	NLK
D0VY79	HIF1A
A0A024R7B5	ZNF559
A1PUM0	C1orf166
A0A024R7J4	MRPL34
A0A024R2P4	C3orf39
L8B7P7	ATL1-alpha
A0A024RAY2	KRT18
A0A024RBC7	ATP2B1
A0A0S2Z5B2	CBX4
Q5SR05	HLA-DQB2
A0A024RAM0	TNPO1
A0A286YF25	OR9K2
B7WNQ9	GATA1
A0A024R0G8	SIRT2
A0A024RCF9	ARMCX3
B4DZA8	CCNJL
A1L3V6	PCSK1
A0A0G2JJF5	AGER
A0A024RBE7	TMPO
A0A024R4L1	STYXL1
A0A126GV72	OR6P1
A0A024R3C5	DRD2
U5XHD7	LILRA6
H0UI15	SNAP91
A0A024R9Y7	MAGED2
E7ESA6	PTK2
A0A024R9I9	TMCO5
A0A024RAV7	ABCC9
A0A024R0W0	SLC25A18
A8K5I0	HEL-S-103
A0A024RBG3	MRPL42
A4D273	PTCD1
A0A126GW87	OR4A16
A0A024RD30	GTPBP2
A0A126GW94	OR1N2
A0A0G2JIR1	EHMT2
A0A024RAB5	RAP1GA1
C9J2U0	CCNE1
B4DHI3	NLGN4Y
A0A024QZH5	SPHK2
B2RNT7	KLHDC5
A0A024R5S5	EIF3S1
H9NIL8	GABBR2
A0A384NPN7	ALDH2
Q5SRL0	TRIM15
A0A024R5F7	DHCR7
Q6IAR4	PIAS3
Q5H8V1	TNFRSF13C
A0A384MEA9	SLC25A36
A0A024RBT1	hCG_2016450
A0A024R2K8	SLC6A1
Q60FE5	FLNA
A0A024R4A8	BOK
A9ZM15	GATF-C
A0A024R8K6	RAB37
A0A0S2Z4G7	NPM1
A0A024R9K2	BAHD1
Q6IBD6	CCL19
A0A024R6T8	NIP30
A0A024QZ68	RAB34
A8K3H3	RARG
E5KTM5	TFB1M
A0A0G2JL37	AGER
A0A0S2Z2Z6	ANXA6
A0A024R3A6	AMOTL1
U5XJZ2	LILRA6
A0A5F9ZHJ2	TNK2
A0A024R598	LOC51035
A2VCK8	TMSB4X
A0A0S2Z5T1	JMJD5
A0A024RAB1	DDEFL1
F1T0I5	AANAT
E5FQ95	HLA-B
A0A024R0Q5	PPP1R13L
A0A024RBQ0	CAMKK2
A0A0S2Z5G9	ST6GALNAC6
A0A024RAR1	hCG_27697
A0A140VK49	SND1
K7PML8	CDKN2A
A0A024R6K1	CCNK
A0A024R5I7	PITPNM1
A0A126GVN6	OR4C11
A0A024R5K8	SERPINH1
A0A024R9I5	SLC12A6
Q5VZX0	EDG2
A0A024R008	SLC35B3
A0A140VKB6	SPATA19
A0A024R0B7	TMEM77
A0A024R7K7	GATAD2A
B3KQH0	SLC35C1
A0A024R892	LRRC8A
A0A2R8Y5S3	TSC1
A0A024R9Q4	PAK6
A0A024R6V6	C16orf57
A0A024R150	CORO2A
A0A024RBP0	RNF10
A0A024R8N8	TMC8
A1L4F9	GRM4
A0A024R1Z2	RAMP2
A8K161	CAMK2A
A0A126GWK0	OR4D2
A0A024R0K4	FLJ10241
A0A024R1C4	ZNF41
A0A096LNW4	PRAMEF9
A0A024R1Q5	NAGA
A0A024RDM4	MRP63
A0A024QZY5	PRPF4B
D3DNQ1	TLOC1
V9HW22	HEL-S-72p
A0A024R572	SF1
A0A0A0MTJ0	TSHR
A0A024QZ57	CLN8
A0A024QZW7	NUP153
F1D8N9	NR1B1
A0A0I9QQ03	GPR153
B7ZLQ8	CPEB4
A0A024RBA6	CTDSP2
E5KPN1	OGG1
D3DPX9	ARTN
A2RU78	KIF3C
F1T0L0	LYPD2
A0A024R9C1	PABPC1
Q4TT61	SNRNP25
A0A024R1J8	NF2
B2R5U3	EHD1
A0A024R7X6	RDH10
A4D1N4	CHCHD3
A0A024QZ35	PLEKHB2
A0A024R5G1	EFEMP2
I6S2Y9	ERRFI1
A8K3J4	CA14
A0A024RB14	RPS26
Q2L6I0	PPP1R10
A0A024RB51	hCG_2043420
A0A024R8F5	EGFL7
R4RYY7	EGLN1
D3DWI6	PSCA
A0A1W2PR95	IGBP1P2
C9JLB1	NCL
A0A126GVE5	OR5I1
D6W601	ADAT3
A0A024R1N6	SOX10
A0A0G2JMX7	MAPT
A4D1U7	CLECSF5
A0A087X1X7	EEF1D
A0A024R9L0	NDUFAF1
A0A024R4K3	MDH2
A0A024RAP4	POLK
B4E273	ARFIP1
A0A024R3W3	hCG_2043051
A0A024QZE4	NTF5
A0A024RAV6	KCNJ8
A0A024R5B9	MGC11102
A0A024R375	NETO1
D6RAM3	DOK3
A8K4H7	PPAT
B4DUJ5	CCDC28A
A0A024R603	DAPK2
A4D1U5	FLJ10842
A0A024R483	MGC99813
A0A024RCH9	OR11A1
Q68DB7	DKFZp781O1323
A0A024R5N3	TNFRSF19L
A0A024R8U5	SFRS2
A0A024R4V3	C22orf8
A0A024RB76	C12orf31
J3QR07	YTHDC1
H9NIM1	hCG_1644110
A0A024R1K8	SF3A1
A0A024R8U1	SLC16A3
R4SCC4	EGLN1
Q549H9	PKIG
A0A024R1E6	PRAME
Q5JQI0	NEU1
A0A126GW41	OR4F15
A0A024R104	CNTN1
A0A024R746	IPLA2(GAMMA)
A0A024R7I7	RAB3A
A8K8E0	LYPD4
A0A0S2Z652	COG7
A0A024RBT9	hCG_1981394
A0A024R9R3	VPS18
A0A024RC62	AP3S2
E7EQZ4	SMN1
