,uniprot,gene_name,idr_content_fraction,motif
549,P17481,HOXB8,0.794,MA1502.1
550,P17482,HOXB9,0.78,MA1503.1
551,Q9NYD6,HOXC10,0.839,MA0905.1
552,O43248,HOXC11,0.839,MA0651.2
553,P31275,HOXC12,0.823,MA0906.1
554,P31276,HOXC13,0.858,MA0907.1
555,P09017,HOXC4,0.811,MA1504.1
556,P31273,HOXC8,0.789,MA1505.1
557,P31274,HOXC9,0.735,MA0485.2
558,P28358,HOXD10,0.838,MA1506.1
559,P31277,HOXD11,0.846,MA0908.1
560,P35452,HOXD12,0.815,MA1958.1
561,P31249,HOXD3,0.88,MA0912.2
562,P09016,HOXD4,0.804,MA1507.1
563,P13378,HOXD8,0.814,MA0910.2
564,P28356,HOXD9,0.849,MA0913.2
565,Q13422,IKZF1,0.651,MA1508.1
566,P14316,IRF2,0.676,MA0051.1
567,Q14653,IRF3,0.087,MA1418.1
568,Q15306,IRF4,0.346,MA1419.1
569,Q13568,IRF5,0.301,MA1420.1
570,O14896,IRF6,0.302,MA1509.1
571,Q92985,IRF7,0.326,MA0772.1
572,Q02556,IRF8,0.282,MA0652.1
573,Q00978,IRF9,0.254,MA0653.1
574,Q96A47,ISL2,0.476,MA0914.1
575,Q2M1V0,ISX,0.804,MA0654.1
576,P15884,TCF4,0.891,MA0830.2
577,Q8WYK2,JDP2,0.761,MA0656.1
578,P17275,JUNB,0.925,MA1140.2
579,P17535,JUND,0.793,MA1145.1
580,P05412,JUN,0.834,MA1133.1
581,Q86T24,ZBTB33,0.61,MA0527.1
582,Q13118,KLF10,0.787,MA1511.2
583,O14901,KLF11,0.742,MA1512.1
584,Q9Y4X4,KLF12,0.799,MA0742.2
585,Q9Y2Y9,KLF13,0.747,MA0657.1
586,Q8TD94,KLF14,0.755,MA0740.2
587,Q9UIH9,KLF15,0.774,MA1513.1
588,Q9BXK1,KLF16,0.722,MA0741.1
589,Q5JT82,KLF17,0.817,MA1514.1
590,Q13351,KLF1,0.605,MA0493.2
591,Q9Y5W3,KLF2,0.777,MA1515.1
592,P57682,KLF3,0.771,MA1516.1
593,O43474,KLF4,0.583,MA0039.4
594,Q13887,KLF5,0.779,MA0599.1
595,Q99612,KLF6,0.445,MA1517.1
596,O75840,KLF7,0.202,MA1959.1
597,Q13886,KLF9,0.586,MA1107.2
598,P52954,LBX1,0.765,MA0618.1
599,Q6XYB7,LBX2,0.702,MA0699.1
600,P41159,LEP,0.108,MA1246.1
601,P84077,ARF1,0.061,MA0942.1
602,P61204,ARF3,0.055,MA1009.1
603,P18085,ARF4,0.017,MA1697.1
604,P84085,ARF5,0.039,MA0943.1
605,P50458,LHX2,0.591,MA0700.2
606,Q9H2C1,LHX5,0.577,MA1519.1
607,Q9UPM6,LHX6,0.46,MA0658.1
608,Q9NQ69,LHX9,0.534,MA0701.2
609,Q6MZP7,LIN54,0.76,MA0619.1
610,Q8TE12,LMX1A,0.552,MA0702.2
611,O60663,LMX1B,0.51,MA0703.2
612,Q8NHW3,MAFA,0.731,MA1521.1
613,Q9ULX9,MAFF,0.457,MA0495.3
614,O15525,MAFG,0.488,MA0089.2
615,O60675,MAFK,0.481,MA0496.3
616,O75444,MAF,0.764,MA1520.1
617,P61244,MAX,0.219,MA0059.1
618,P56270,MAZ,0.648,MA1522.1
619,P08235,NR3C2,0.35,MA0727.1
620,A6NJG6,ARGFX,0.822,MA1463.1
621,Q02078,MEF2A,0.813,MA0052.4
622,Q06413,MEF2C,0.886,MA0497.1
623,Q02080,MEF2B,0.775,MA0660.1
624,Q14814,MEF2D,0.896,MA0773.1
625,O00470,MEIS1,0.59,MA1639.1
626,O14770,MEIS2,0.66,MA1640.1
627,Q99687,MEIS3,0.603,MA0775.1
628,P50221,MEOX1,0.823,MA0661.1
629,P50222,MEOX2,0.836,MA0706.1
630,P08493,MGP,0.311,MA1158.1
631,O75030,MITF,0.721,MA0620.3
632,Q9H2W2,MIXL1,0.754,MA0662.1
633,Q9NP71,MLXIPL,0.71,MA0664.1
634,Q9UH92,MLX,0.564,MA0663.1
635,P50219,MNX1,0.883,MA0707.2
636,Q99583,MNT,0.868,MA0825.1
637,Q96H12,MSANTD3,0.549,MA1523.1
638,P28360,MSX1,0.835,MA0666.2
639,P35548,MSX2,0.813,MA0708.2
640,Q9HBZ2,ARNT2,0.558,MA1464.1
641,P27540,ARNT,0.53,MA0259.1
642,Q14872,MTF1,0.77,MA0863.1
643,O60682,MSC,0.752,MA0665.1
644,P50539,MXI1,0.719,MA1108.2
645,P10243,MYBL1,0.759,MA0776.1
646,P10244,MYBL2,0.739,MA0777.1
647,P10242,MYB,0.748,MA0100.3
648,P04198,MYCN,0.748,MA0104.4
649,P01106,MYC,0.415,MA0147.3
650,P13349,MYF5,0.757,MA1641.1
651,P23409,MYF6,0.723,MA0667.1
652,P15172,MYOD1,0.784,MA0499.2
653,P15173,MYOG,0.696,MA0500.2
654,P28698,MZF1,0.386,MA0056.2
655,Q13562,NEUROD1,0.744,MA1109.1
656,Q14494,NFE2L1,0.751,MA0089.2
657,Q12968,NFATC3,0.716,MA0625.2
658,Q14934,NFATC4,0.674,MA1525.2
659,Q16621,NFE2,0.609,MA0841.1
660,Q12857,NFIA,0.582,MA0670.1
661,O00712,NFIB,0.521,MA1643.1
662,P08651,NFIC,0.608,MA1527.1
663,Q16649,NFIL3,0.84,MA0025.2
664,Q14938,NFIX,0.61,MA1528.1
665,P19838,NFKB1,0.243,MA0105.4
666,Q00653,NFKB2,0.069,MA0778.1
667,P23511,NFYA,0.795,MA0060.3
668,P25208,NFYB,0.58,MA0502.2
669,Q13952,NFYC,0.747,MA1644.1
670,Q92886,NEUROG1,0.743,MA0623.2
671,Q9H2A3,NEUROG2,0.706,MA1642.1
672,P14543,NID1,0.127,MA1793.1
673,O95096,NKX2-2,0.824,MA1645.1
674,Q8TAU0,NKX2-3,0.863,MA0672.1
675,Q9H2Z4,NKX2-4,0.859,MA2003.1
676,P52952,NKX2-5,0.83,MA0063.2
677,O15522,NKX2-8,0.799,MA0673.1
678,P78426,NKX6-1,0.861,MA0674.1
679,Q9C056,NKX6-2,0.809,MA0675.1
680,A6NJ46,NKX6-3,0.823,MA1530.1
681,A8MTQ0,NOTO,0.789,MA0710.1
682,P20393,NR1D1,0.474,MA1531.1
683,P55055,NR1H2,0.161,MA0115.1
684,Q14995,NR1D2,0.446,MA1532.2
685,Q96RI1,NR1H4,0.344,MA1146.1
686,O75469,NR1I2,0.104,MA1533.1
687,Q14994,NR1I3,0.051,MA1534.1
688,P13056,NR2C1,0.438,MA1535.1
689,P49116,NR2C2,0.403,MA1536.1
690,P10588,NR2F6,0.257,MA1539.1
691,P22736,NR4A1,0.452,MA1112.2
692,P43354,NR4A2,0.465,MA1147.1
693,Q15406,NR6A1,0.342,MA1541.1
694,Q02297,NRG1,0.742,MA0347.2
695,P54845,NRL,0.624,MA0842.2
696,Q8TAK6,OLIG1,0.808,MA0826.1
697,Q13516,OLIG2,0.808,MA0678.1
698,Q7RTU3,OLIG3,0.772,MA0827.1
699,O95948,ONECUT2,0.754,MA0756.2
700,O60422,ONECUT3,0.743,MA0757.1
701,Q8TAX0,OSR1,0.714,MA1542.1
702,Q8N2R0,OSR2,0.51,MA1646.1
703,P32242,OTX1,0.87,MA0711.1
704,P32243,OTX2,0.834,MA0712.2
705,O14753,OVOL1,0.625,MA1544.1
706,Q9BRP0,OVOL2,0.458,MA1545.1
707,P04637,TP53,0.033,MA0106.3
708,Q06416,POU5F1B,0.627,MA0792.1
709,Q9H3D4,TP63,0.494,MA0525.2
710,O15350,TP73,0.467,MA0861.1
711,Q9HBE1,PATZ1,0.584,MA1961.1
712,P15863,PAX1,0.787,MA0779.1
713,P23760,PAX3,0.608,MA1546.1
714,O43316,PAX4,0.514,MA0068.2
715,Q02962,PAX2,0.729,MA0067.2
716,Q02548,PAX5,0.637,MA0014.3
717,P26367,PAX6,0.519,MA0069.1
718,P55771,PAX9,0.657,MA0781.1
719,P40424,PBX1,0.367,MA0070.1
720,P40425,PBX2,0.447,MA1113.2
721,P40426,PBX3,0.465,MA1114.1
722,P52945,PDX1,0.548,MA0132.2
723,O14813,PHOX2A,0.831,MA0713.1
724,Q99453,PHOX2B,0.828,MA0681.2
725,Q9H611,PIF1,0.134,MA0552.1
726,P28069,POU1F1,0.474,MA0784.2
727,P78337,PITX1,0.85,MA0682.2
728,Q99697,PITX2,0.798,MA1547.2
729,O75364,PITX3,0.828,MA0714.1
730,P55347,PKNOX1,0.647,MA0782.2
731,Q96KN3,PKNOX2,0.686,MA0783.1
732,Q6DJT9,PLAG1,0.6,MA0163.1
733,Q9UPG8,PLAGL2,0.621,MA1548.1
734,P14859,POU2F1,0.524,MA1962.1
735,P09086,POU2F2,0.718,MA0507.2
736,Q9UKI9,POU2F3,0.725,MA0627.2
737,Q03052,POU3F1,0.656,MA0786.1
738,P20265,POU3F2,0.702,MA0787.1
739,P20264,POU3F3,0.746,MA0788.1
740,P49335,POU3F4,0.637,MA0789.1
741,Q01851,POU4F1,0.632,MA0790.1
742,Q12837,POU4F2,0.682,MA0683.1
743,Q15319,POU4F3,0.624,MA0791.1
744,Q14863,POU6F1,0.482,MA1549.1
745,P78424,POU6F2,0.767,MA0793.1
746,Q07869,PPARA,0.212,MA1148.1
747,Q03181,PPARD,0.202,MA1550.1
748,P37231,PPARG,0.016,MA0066.1
749,P15336,ATF2,0.711,MA1632.1
750,P18847,ATF3,0.691,MA0605.2
751,P18848,ATF4,0.84,MA0833.2
752,P18850,ATF6,0.839,MA1466.1
753,P17544,ATF7,0.905,MA0834.1
754,O75626,PRDM1,0.53,MA0508.3
755,Q9NQV7,PRDM9,0.32,MA1723.1
756,O75360,PROP1,0.77,MA0715.1
757,Q92786,PROX1,0.773,MA0794.1
758,P54821,PRRX1,0.792,MA0716.1
759,Q99811,PRRX2,0.783,MA0075.3
760,Q8N100,ATOH7,0.579,MA1468.1
761,P10276,RARA,0.262,MA1149.1
762,P10826,RARB,0.187,MA1552.1
763,P13631,RARG,0.009,MA1553.1
764,Q96IS3,RAX2,0.717,MA0717.1
765,Q01201,RELB,0.504,MA1117.1
766,Q04864,REL,0.53,MA0101.1
767,Q13127,REST,0.691,MA0138.2
768,P22670,RFX1,0.551,MA0509.3
769,P48378,RFX2,0.393,MA0600.2
770,P48380,RFX3,0.391,MA0798.3
771,Q33E94,RFX4,0.431,MA0799.2
772,P48382,RFX5,0.675,MA0510.2
773,Q2KHR2,RFX7,0.896,MA1554.1
774,Q8NHV9,RHOXF1,0.707,MA0719.1
775,P35398,RORA,0.34,MA0072.1
776,P51449,RORC,0.326,MA1151.1
777,Q92753,RORB,0.251,MA1150.1
778,Q92766,RREB1,0.768,MA0073.1
779,O14867,BACH1,0.675,MA1633.2
780,Q9BYV9,BACH2,0.499,MA1470.1
781,Q9BZE3,BARHL1,0.722,MA0877.3
782,Q9NY43,BARHL2,0.824,MA0635.1
783,Q9HBU1,BARX1,0.736,MA0875.1
784,Q9UMQ3,BARX2,0.832,MA1471.1
785,Q9NR55,BATF3,0.819,MA0835.2
786,Q16520,BATF,0.848,MA1634.1
787,Q13950,RUNX2,0.649,MA0511.2
788,Q13761,RUNX3,0.713,MA0684.2
789,Q8N143,BCL6B,0.568,MA0731.1
790,P41182,BCL6,0.248,MA0463.2
791,P28702,RXRB,0.426,MA1555.1
792,P48443,RXRG,0.048,MA1556.1
793,Q9Y2V3,RAX,0.861,MA0718.1
794,Q01826,SATB1,0.359,MA1963.1
795,Q9BWW7,SCRT1,0.606,MA0743.2
796,Q9NQ03,SCRT2,0.583,MA0744.2
797,O15266,SHOX,0.818,MA0630.1
798,Q15475,SIX1,0.349,MA1118.1
799,Q9NPC8,SIX2,0.454,MA1119.1
800,Q7RTS1,BHLHA15,0.741,MA0607.2
801,Q8NFJ8,BHLHE22,0.832,MA1635.1
802,Q8NDY6,BHLHE23,0.742,MA0817.1
803,O14503,BHLHE40,0.704,MA0464.2
804,Q9C0J9,BHLHE41,0.774,MA0636.1
805,P84022,SMAD3,0.021,MA0795.1
806,Q99717,SMAD5,0.249,MA1557.1
807,O43623,SNAI2,0.493,MA0745.2
808,Q3KNW1,SNAI3,0.531,MA1559.1
809,Q9NX45,SOHLH2,0.562,MA1560.1
810,P56693,SOX10,0.835,MA0442.2
811,O15370,SOX12,0.813,MA1561.1
812,Q9UN79,SOX13,0.756,MA1120.1
813,O95416,SOX14,0.742,MA1562.1
814,O60248,SOX15,0.738,MA1152.1
815,P35713,SOX18,0.852,MA1563.2
816,Q9Y651,SOX21,0.746,MA0866.1
817,P48431,SOX2,0.754,MA1962.1
818,Q06945,SOX4,0.852,MA0867.2
819,P57073,SOX8,0.827,MA0868.2
820,P48436,SOX9,0.815,MA0077.1
821,P08047,SP1,0.566,MA0079.5
822,Q02086,SP2,0.837,MA0516.3
823,Q02447,SP3,0.868,MA0746.2
824,Q02446,SP4,0.807,MA0685.2
825,Q6BEB4,SP5,0.796,MA1965.1
826,P0CG40,SP9,0.812,MA1564.1
827,Q8IXZ3,SP8,0.804,MA0747.1
828,O95238,SPDEF,0.43,MA0686.1
829,Q01892,SPIB,0.634,MA0081.2
830,Q8N5J4,SPIC,0.617,MA0687.1
831,Q9P2A4,ABI3,0.568,MA0564.1
832,P36956,SREBF1,0.422,MA0829.2
833,Q12772,SREBF2,0.402,MA1939.1
834,P11831,SRF,0.811,MA0083.3
835,Q05066,SRY,0.676,MA0084.1
836,P52630,STAT2,0.038,MA0517.1
837,P40763,STAT3,0.062,MA0144.2
838,Q13285,NR5A1,0.267,MA1540.2
839,Q06330,RBPJ,0.12,MA1116.1
840,Q1ZZU3,SWI5,0.694,MA0402.1
841,Q6ZN30,BNC2,0.717,MA1928.1
842,P17542,TAL1,0.801,MA0140.2
843,P20226,TBP,0.021,MA0108.2
844,Q16650,TBR1,0.717,MA0802.1
845,O95935,TBX18,0.649,MA1565.1
846,Q96SF7,TBX15,0.676,MA0803.1
847,O60806,TBX19,0.551,MA0804.1
848,O43435,TBX1,0.465,MA0805.1
849,Q9UMR3,TBX20,0.515,MA0689.1
850,Q9UL17,TBX21,0.63,MA0690.2
851,Q13207,TBX2,0.725,MA0688.1
852,O15119,TBX3,0.724,MA1566.2
853,P57082,TBX4,0.657,MA0806.1
854,Q99593,TBX5,0.537,MA0807.1
855,O15178,TBXT,0.547,MA0009.2
856,O43680,TCF21,0.709,MA1568.1
857,P36402,TCF7,0.831,MA0769.2
858,Q9UL49,TCFL5,0.904,MA0632.2
859,P17987,TCP1,0.029,MA1284.1
860,P28347,TEAD1,0.228,MA0090.3
861,Q15562,TEAD2,0.273,MA1121.1
862,Q99594,TEAD3,0.246,MA0808.1
863,Q15561,TEAD4,0.27,MA0809.2
864,Q10587,TEF,0.723,MA0843.1
865,Q8IUE1,TGIF2LX,0.71,MA1571.1
866,Q8IUE0,TGIF2LY,0.703,MA1572.1
867,Q04206,RELA,0.223,MA0107.1
868,Q9HCS4,TCF7L1,0.872,MA1421.1
869,Q9NQB0,TCF7L2,0.653,MA0523.1
870,Q01664,TFAP4,0.701,MA1967.1
871,Q12800,TFCP2,0.319,MA1968.1
872,Q14186,TFDP1,0.351,MA1122.1
873,P15923,TCF3,0.833,MA0522.3
874,P19484,TFEB,0.813,MA0692.1
875,P19532,TFE3,0.856,MA0831.3
876,O14948,TFEC,0.746,MA0871.2
877,Q15583,TGIF1,0.796,MA0796.1
878,Q9GZN2,TGIF2,0.743,MA0797.1
879,Q9NVV9,THAP1,0.61,MA0597.2
880,P10827,THRA,0.243,MA1969.1
881,P10828,THRB,0.215,MA1576.1
882,P31314,TLX1,0.809,MA0119.1
883,O43763,TLX2,0.785,MA1577.1
884,Q3C1V8,BSX,0.833,MA0876.1
885,Q9UHF7,TRPS1,0.733,MA1970.1
886,Q15672,TWIST1,0.515,MA1123.2
887,Q04741,EMX1,0.841,MA0612.2
888,A0A6Q8PG17,ATF4,0.245,MA0833.2
